id_viaje,vehiculo_id,tipo_vehiculo,fecha,mes,hora_salida,hora_llegada_real,hora_llegada_estimada,distancia_km,numero_entregas,combustible_litros,estado_viaje,tiempo_entrega_horas,tiempo_estimado_horas,diferencia_tiempo_horas,cumplimiento,costo_combustible_usd
VIAJE-5013,VH-109,Furgoneta,2025-03-09,2025-03,14:15:00,07:56:33,06:55:39,1010.49,5,341.55,Completado,17.69,16.68,1.0100000000000016,Retrasado,290.32
VIAJE-5014,VH-115,Camión ligero,2025-03-23,2025-03,14:30:00,15:18:22,16:35:36,921.6,4,247.83,Retrasado,0.81,2.09,-1.2799999999999998,A tiempo,210.66
VIAJE-5015,VH-110,Camión pesado,2025-02-19,2025-02,07:48:00,20:27:46,19:46:45,535.49,3,190.68,Completado,12.66,11.98,0.6799999999999997,Retrasado,162.08
VIAJE-5016,VH-121,Furgoneta,2025-06-06,2025-06,09:36:00,18:30:24,21:08:12,1413.37,2,575.47,Completado,8.91,11.54,-2.629999999999999,A tiempo,489.15
VIAJE-5017,VH-119,Camión pesado,2025-03-25,2025-03,14:30:00,22:33:38,20:20:32,1973.33,6,861.49,Retrasado,8.06,5.84,2.2200000000000006,Retrasado,732.27
VIAJE-5018,VH-109,Furgoneta,2025-02-07,2025-02,10:21:00,21:46:43,21:14:38,2238.0,3,749.86,Retrasado,11.43,10.89,0.5399999999999991,Retrasado,637.38
VIAJE-5019,VH-124,Tráiler,2025-01-02,2025-01,12:03:00,10:36:33,17:14:37,2055.34,2,829.14,Completado,22.56,5.19,17.369999999999997,Retrasado,704.77
VIAJE-5020,VH-122,Camión pesado,2025-02-23,2025-02,10:18:00,02:35:50,06:06:51,1247.09,4,393.0,Cancelado,16.3,19.81,-3.509999999999998,A tiempo,334.05
VIAJE-5021,VH-123,Camión pesado,2025-02-25,2025-02,14:28:00,07:51:40,03:38:39,1418.73,2,559.79,Cancelado,17.39,13.18,4.210000000000001,Retrasado,475.82
VIAJE-5022,VH-115,Camión ligero,2025-06-18,2025-06,12:44:00,10:52:51,07:50:13,2688.54,2,998.37,Retrasado,22.15,19.1,3.049999999999997,Retrasado,848.61
VIAJE-5023,VH-101,Camión ligero,2025-01-15,2025-01,11:17:00,14:01:35,10:54:21,1270.97,3,351.88,Completado,2.74,23.62,-20.880000000000003,A tiempo,299.1
VIAJE-5024,VH-110,Tráiler,2025-02-08,2025-02,08:37:00,00:21:50,00:04:20,598.4,1,188.84,Cancelado,15.75,15.46,0.28999999999999915,Retrasado,160.51
VIAJE-5025,VH-124,Furgoneta,2025-05-23,2025-05,14:52:00,06:16:19,07:59:07,475.62,1,185.42,Completado,15.41,17.12,-1.7100000000000009,A tiempo,157.61
VIAJE-5026,VH-111,Tráiler,2025-02-24,2025-02,08:20:00,07:52:34,05:45:01,1140.24,3,506.59,Completado,23.54,21.42,2.1199999999999974,Retrasado,430.6
VIAJE-5027,VH-108,Camión ligero,2025-02-05,2025-02,07:41:00,04:34:44,06:26:52,958.12,4,398.9,Completado,20.9,22.76,-1.860000000000003,A tiempo,339.06
VIAJE-5028,VH-116,Furgoneta,2025-01-05,2025-01,12:02:00,10:11:00,14:12:02,2996.22,3,1043.89,Cancelado,22.15,2.17,19.979999999999997,Retrasado,887.31
VIAJE-5029,VH-110,Camión ligero,2025-01-20,2025-01,07:35:00,21:29:25,01:25:42,1943.51,5,519.98,Retrasado,13.91,17.84,-3.9299999999999997,A tiempo,441.98
VIAJE-5030,VH-119,Camión pesado,2025-01-19,2025-01,12:52:00,03:36:08,02:03:53,708.08,6,223.81,Completado,14.74,13.2,1.540000000000001,Retrasado,190.24
VIAJE-5031,VH-120,Furgoneta,2025-04-27,2025-04,14:49:00,00:40:32,04:37:51,2126.63,4,702.41,Completado,9.86,13.81,-3.950000000000001,A tiempo,597.05
VIAJE-5032,VH-100,Tráiler,2025-01-05,2025-01,06:14:00,23:03:46,23:29:20,606.2,2,244.64,Cancelado,16.83,17.26,-0.43000000000000327,A tiempo,207.94
VIAJE-5033,VH-114,Camión pesado,2025-05-28,2025-05,11:57:00,06:26:39,02:28:39,2748.95,2,768.76,Completado,18.49,14.53,3.959999999999999,Retrasado,653.45
VIAJE-5034,VH-105,Camión ligero,2025-01-07,2025-01,14:38:00,12:04:48,12:37:35,1435.12,2,632.79,Completado,21.45,21.99,-0.5399999999999991,A tiempo,537.87
VIAJE-5035,VH-110,Camión pesado,2025-06-18,2025-06,09:12:00,01:08:05,23:51:29,748.48,3,324.82,Completado,15.93,14.66,1.2699999999999996,Retrasado,276.1
VIAJE-5036,VH-100,Camión pesado,2025-04-23,2025-04,07:53:00,05:29:31,10:20:17,1414.64,6,412.67,Completado,21.61,2.45,19.16,Retrasado,350.77
VIAJE-5037,VH-114,Tráiler,2025-04-13,2025-04,09:13:00,22:40:54,18:06:20,2008.46,1,572.45,Cancelado,13.46,8.89,4.57,Retrasado,486.58
VIAJE-5038,VH-123,Camión ligero,2025-02-11,2025-02,09:07:00,06:23:19,09:46:47,2699.37,3,845.92,Completado,21.27,0.66,20.61,Retrasado,719.03
VIAJE-5039,VH-106,Camión ligero,2025-05-10,2025-05,11:30:00,01:14:35,23:14:53,473.86,4,154.48,Retrasado,13.74,11.75,1.9900000000000002,Retrasado,131.31
VIAJE-5040,VH-112,Camión ligero,2025-04-01,2025-04,11:19:00,03:47:50,01:22:36,1917.4,6,862.72,Completado,16.48,14.06,2.42,Retrasado,733.31
VIAJE-5041,VH-120,Tráiler,2025-05-01,2025-05,06:17:00,17:50:46,14:00:47,2343.36,1,702.54,Cancelado,11.56,7.73,3.83,Retrasado,597.16
VIAJE-5042,VH-100,Camión pesado,2025-05-13,2025-05,08:08:00,18:06:23,19:05:13,2055.09,1,600.01,Completado,9.97,10.95,-0.9799999999999986,A tiempo,510.01
VIAJE-5043,VH-111,Tráiler,2025-02-10,2025-02,12:11:00,22:12:59,22:56:41,509.13,2,209.79,Completado,10.03,10.76,-0.7300000000000004,A tiempo,178.32
VIAJE-5044,VH-111,Camión ligero,2025-02-11,2025-02,06:31:00,17:54:15,19:18:05,525.49,3,159.24,Completado,11.39,12.78,-1.3899999999999988,A tiempo,135.35
VIAJE-5045,VH-100,Camión ligero,2025-03-26,2025-03,06:56:00,06:34:35,09:30:35,1404.35,2,364.15,Retrasado,23.64,2.58,21.060000000000002,Retrasado,309.53
VIAJE-5046,VH-124,Camión pesado,2025-02-10,2025-02,07:00:00,01:02:19,03:40:49,701.85,4,191.24,Retrasado,18.04,20.68,-2.6400000000000006,A tiempo,162.55
VIAJE-5047,VH-114,Tráiler,2025-05-18,2025-05,13:08:00,06:33:05,04:12:30,2583.54,1,888.47,Completado,17.42,15.07,2.3500000000000014,Retrasado,755.2
VIAJE-5048,VH-104,Furgoneta,2025-06-18,2025-06,14:23:00,12:24:03,12:05:39,2610.92,1,1043.7,Cancelado,22.02,21.71,0.3099999999999987,Retrasado,887.14
VIAJE-5049,VH-106,Camión pesado,2025-02-26,2025-02,14:08:00,05:11:02,00:17:21,1394.26,6,375.0,Retrasado,15.05,10.16,4.890000000000001,Retrasado,318.75
VIAJE-5050,VH-109,Camión ligero,2025-03-05,2025-03,09:16:00,19:45:34,20:25:19,591.53,3,202.56,Cancelado,10.49,11.16,-0.6699999999999999,A tiempo,172.18
VIAJE-5051,VH-116,Furgoneta,2025-02-03,2025-02,11:27:00,06:41:22,09:11:52,688.94,6,176.95,Retrasado,19.24,21.75,-2.5100000000000016,A tiempo,150.41
VIAJE-5052,VH-120,Camión ligero,2025-02-20,2025-02,08:00:00,16:34:33,15:42:21,268.98,2,84.6,Cancelado,8.58,7.71,0.8700000000000001,Retrasado,71.91
VIAJE-5053,VH-115,Tráiler,2025-03-30,2025-03,09:40:00,03:39:53,03:03:41,2890.79,4,846.91,Cancelado,18.0,17.39,0.6099999999999994,Retrasado,719.87
VIAJE-5054,VH-108,Tráiler,2025-01-31,2025-01,10:41:00,00:02:05,05:36:01,2500.89,3,718.42,Completado,13.35,18.92,-5.570000000000002,A tiempo,610.66
VIAJE-5055,VH-115,Tráiler,2025-06-19,2025-06,07:42:00,01:05:09,19:39:41,2505.12,3,809.37,Completado,17.39,11.96,5.43,Retrasado,687.96
VIAJE-5056,VH-117,Camión pesado,2025-01-25,2025-01,09:29:00,01:40:00,23:12:15,1398.84,6,594.03,Completado,16.18,13.72,2.459999999999999,Retrasado,504.93
VIAJE-5057,VH-114,Tráiler,2025-05-22,2025-05,07:55:00,06:36:50,02:20:21,1742.02,5,728.17,Completado,22.7,18.42,4.279999999999998,Retrasado,618.94
VIAJE-5058,VH-124,Camión ligero,2025-02-20,2025-02,11:33:00,17:11:35,17:24:56,1069.25,5,438.45,Completado,5.64,5.87,-0.23000000000000043,A tiempo,372.68
VIAJE-5059,VH-117,Camión pesado,2025-05-16,2025-05,08:23:00,17:41:08,18:03:38,532.25,6,198.87,Completado,9.3,9.68,-0.379999999999999,A tiempo,169.04
VIAJE-5060,VH-117,Tráiler,2025-02-21,2025-02,10:03:00,08:09:59,06:38:29,3133.9,3,1110.5,Retrasado,22.12,20.59,1.5300000000000011,Retrasado,943.92
VIAJE-5061,VH-115,Tráiler,2025-03-24,2025-03,08:46:00,05:55:16,08:44:36,1355.28,3,519.92,Completado,21.15,23.98,-2.830000000000002,A tiempo,441.93
VIAJE-5062,VH-123,Camión ligero,2025-01-16,2025-01,12:08:00,20:44:51,20:28:00,541.83,2,152.74,Retrasado,8.61,8.33,0.27999999999999936,Retrasado,129.83
VIAJE-5063,VH-112,Camión pesado,2025-03-05,2025-03,11:04:00,23:28:36,00:56:18,843.41,2,231.68,Cancelado,12.41,13.87,-1.459999999999999,A tiempo,196.93
VIAJE-5064,VH-121,Camión pesado,2025-02-22,2025-02,13:09:00,22:04:22,23:25:25,1989.32,1,704.47,Cancelado,8.92,10.27,-1.3499999999999996,A tiempo,598.8
VIAJE-5065,VH-103,Tráiler,2025-03-01,2025-03,13:19:00,05:08:23,04:35:40,2056.88,5,543.18,Completado,15.82,15.28,0.5400000000000009,Retrasado,461.7
VIAJE-5066,VH-108,Camión ligero,2025-04-08,2025-04,10:07:00,16:57:14,20:26:04,1450.48,2,563.2,Retrasado,6.84,10.32,-3.4800000000000004,A tiempo,478.72
VIAJE-5067,VH-124,Furgoneta,2025-02-27,2025-02,14:06:00,20:10:27,20:50:22,360.03,5,107.38,Retrasado,6.07,6.74,-0.6699999999999999,A tiempo,91.27
VIAJE-5068,VH-122,Tráiler,2025-04-18,2025-04,06:40:00,13:30:19,13:58:56,415.78,6,179.18,Cancelado,6.84,7.32,-0.4800000000000004,A tiempo,152.3
VIAJE-5069,VH-110,Tráiler,2025-06-20,2025-06,10:22:00,16:11:20,15:44:22,198.22,4,69.18,Cancelado,5.82,5.37,0.4500000000000002,Retrasado,58.8
VIAJE-5070,VH-113,Furgoneta,2025-01-27,2025-01,13:35:00,19:29:19,19:39:32,1573.77,5,684.67,Retrasado,5.91,6.08,-0.16999999999999993,A tiempo,581.97
VIAJE-5071,VH-101,Camión ligero,2025-06-01,2025-06,07:36:00,13:57:57,13:41:59,437.15,2,168.09,Cancelado,6.37,6.1,0.27000000000000046,Retrasado,142.88
VIAJE-5072,VH-113,Tráiler,2025-01-11,2025-01,11:41:00,01:56:15,06:06:29,2451.69,5,631.2,Retrasado,14.25,18.42,-4.170000000000002,A tiempo,536.52
VIAJE-5073,VH-120,Tráiler,2025-06-21,2025-06,06:13:00,10:17:43,06:54:57,869.48,3,377.47,Completado,4.08,0.7,3.38,Retrasado,320.85
VIAJE-5074,VH-123,Tráiler,2025-03-06,2025-03,11:52:00,21:17:06,19:02:44,1473.6,2,599.37,Completado,9.42,7.18,2.24,Retrasado,509.46
VIAJE-5075,VH-114,Furgoneta,2025-02-11,2025-02,09:35:00,23:02:25,01:44:43,1943.7,3,778.77,Completado,13.46,16.16,-2.6999999999999993,A tiempo,661.95
VIAJE-5076,VH-115,Camión ligero,2025-03-27,2025-03,11:39:00,14:24:31,12:56:09,1664.56,2,517.96,Completado,2.76,1.29,1.4699999999999998,Retrasado,440.27
VIAJE-5077,VH-120,Tráiler,2025-03-22,2025-03,13:40:00,00:13:53,01:21:35,478.67,3,166.14,Completado,10.56,11.69,-1.129999999999999,A tiempo,141.22
VIAJE-5078,VH-114,Furgoneta,2025-02-10,2025-02,08:20:00,11:03:57,11:24:04,102.72,3,40.07,Cancelado,2.73,3.07,-0.33999999999999986,A tiempo,34.06
VIAJE-5079,VH-109,Camión pesado,2025-04-12,2025-04,07:12:00,13:29:41,13:18:52,368.03,6,111.39,Completado,6.29,6.11,0.17999999999999972,Retrasado,94.68
VIAJE-5080,VH-117,Furgoneta,2025-04-12,2025-04,08:58:00,04:41:15,06:32:55,1258.21,6,537.87,Completado,19.72,21.58,-1.8599999999999994,A tiempo,457.19
VIAJE-5081,VH-119,Camión ligero,2025-03-24,2025-03,09:28:00,01:28:07,03:28:45,1593.53,2,485.64,Retrasado,16.0,18.01,-2.0100000000000016,A tiempo,412.79
VIAJE-5082,VH-107,Camión pesado,2025-03-04,2025-03,09:28:00,17:16:11,15:19:51,1228.83,1,544.27,Cancelado,7.8,5.86,1.9399999999999995,Retrasado,462.63
VIAJE-5083,VH-115,Tráiler,2025-04-17,2025-04,14:35:00,14:30:30,19:30:37,1806.28,2,661.42,Cancelado,23.93,4.93,19.0,Retrasado,562.21
VIAJE-5084,VH-112,Furgoneta,2025-04-04,2025-04,10:27:00,05:28:49,04:27:13,1256.05,2,403.71,Completado,19.03,18.0,1.0300000000000011,Retrasado,343.15
VIAJE-5085,VH-110,Camión pesado,2025-05-18,2025-05,08:06:00,07:13:35,10:10:19,2892.09,5,1032.68,Completado,23.13,2.07,21.06,Retrasado,877.78
VIAJE-5086,VH-119,Camión pesado,2025-03-31,2025-03,14:52:00,14:10:48,18:57:29,2299.98,5,786.7,Retrasado,23.31,4.09,19.22,Retrasado,668.7
VIAJE-5087,VH-115,Tráiler,2025-01-17,2025-01,08:01:00,11:46:29,15:04:16,1453.41,1,501.9,Completado,3.76,7.05,-3.29,A tiempo,426.61
VIAJE-5088,VH-102,Furgoneta,2025-01-17,2025-01,10:36:00,00:11:33,01:03:49,895.22,1,311.68,Completado,13.59,14.46,-0.870000000000001,A tiempo,264.93
VIAJE-5089,VH-112,Camión pesado,2025-06-19,2025-06,13:19:00,16:04:58,13:56:07,1525.32,3,624.9,Cancelado,2.77,0.62,2.15,Retrasado,531.16
VIAJE-5090,VH-113,Camión pesado,2025-05-19,2025-05,11:55:00,14:13:41,14:24:17,125.72,6,46.2,Completado,2.31,2.49,-0.18000000000000016,A tiempo,39.27
VIAJE-5091,VH-119,Camión ligero,2025-05-16,2025-05,12:46:00,22:10:55,22:57:19,355.76,5,159.35,Completado,9.42,10.19,-0.7699999999999996,A tiempo,135.45
VIAJE-5092,VH-100,Tráiler,2025-01-31,2025-01,11:05:00,17:24:53,18:16:03,292.15,6,95.68,Retrasado,6.33,7.18,-0.8499999999999996,A tiempo,81.33
VIAJE-5093,VH-112,Tráiler,2025-02-05,2025-02,11:11:00,17:35:34,17:27:32,283.35,6,85.12,Completado,6.41,6.28,0.1299999999999999,Retrasado,72.35
VIAJE-5094,VH-105,Furgoneta,2025-04-13,2025-04,09:14:00,03:23:18,02:30:56,1014.68,1,406.24,Cancelado,18.16,17.28,0.879999999999999,Retrasado,345.3
VIAJE-5095,VH-108,Camión ligero,2025-06-05,2025-06,06:35:00,11:18:14,10:35:54,212.08,2,94.81,Completado,4.72,4.01,0.71,Retrasado,80.59
VIAJE-5096,VH-100,Furgoneta,2025-04-09,2025-04,10:01:00,00:49:06,05:00:05,2045.75,3,902.47,Completado,14.8,18.98,-4.18,A tiempo,767.1
VIAJE-5097,VH-120,Tráiler,2025-02-16,2025-02,14:13:00,13:06:08,18:54:21,1588.42,6,587.63,Cancelado,22.89,4.69,18.2,Retrasado,499.49
VIAJE-5098,VH-105,Tráiler,2025-02-15,2025-02,14:09:00,05:36:38,00:09:01,1886.39,5,674.42,Completado,15.46,10.0,5.460000000000001,Retrasado,573.26
VIAJE-5099,VH-109,Furgoneta,2025-01-28,2025-01,11:43:00,22:00:57,22:00:30,522.58,1,193.72,Cancelado,10.3,10.29,0.010000000000001563,Retrasado,164.66
VIAJE-5100,VH-110,Tráiler,2025-06-18,2025-06,14:53:00,10:46:12,11:46:36,952.93,1,250.71,Completado,19.89,20.89,-1.0,A tiempo,213.1
VIAJE-5101,VH-111,Camión pesado,2025-03-03,2025-03,13:12:00,03:43:35,08:32:29,1219.89,1,529.71,Cancelado,14.53,19.34,-4.8100000000000005,A tiempo,450.25
VIAJE-5102,VH-103,Camión ligero,2025-06-19,2025-06,11:58:00,14:13:27,14:23:41,1391.74,5,558.62,Completado,2.26,2.43,-0.17000000000000037,A tiempo,474.83
VIAJE-5103,VH-109,Furgoneta,2025-02-04,2025-02,13:48:00,00:54:35,00:35:26,752.92,4,245.01,Retrasado,11.11,10.79,0.3200000000000003,Retrasado,208.26
VIAJE-5104,VH-100,Tráiler,2025-01-27,2025-01,11:35:00,11:51:07,15:26:10,1105.5,4,446.79,Completado,0.27,3.85,-3.58,A tiempo,379.77
VIAJE-5105,VH-116,Camión ligero,2025-02-18,2025-02,07:19:00,02:21:10,02:54:19,2578.48,5,975.15,Completado,19.04,19.59,-0.5500000000000007,A tiempo,828.88
VIAJE-5106,VH-117,Camión ligero,2025-01-13,2025-01,10:24:00,21:03:32,22:05:39,730.86,1,282.72,Retrasado,10.66,11.69,-1.0299999999999994,A tiempo,240.31
VIAJE-5107,VH-123,Camión pesado,2025-05-11,2025-05,11:43:00,21:52:44,21:26:26,2269.29,1,651.61,Completado,10.16,9.72,0.4399999999999995,Retrasado,553.87
VIAJE-5108,VH-122,Furgoneta,2025-01-19,2025-01,09:31:00,21:01:35,19:27:22,640.14,1,208.88,Completado,11.51,9.94,1.5700000000000003,Retrasado,177.55
VIAJE-5109,VH-109,Camión ligero,2025-03-03,2025-03,11:11:00,10:35:21,16:31:40,2989.56,3,987.73,Completado,23.41,5.34,18.07,Retrasado,839.57
VIAJE-5110,VH-104,Camión pesado,2025-06-09,2025-06,10:56:00,07:21:12,12:12:02,2541.54,6,953.68,Completado,20.42,1.27,19.150000000000002,Retrasado,810.63
VIAJE-5111,VH-120,Furgoneta,2025-04-15,2025-04,06:26:00,22:19:00,02:06:23,1798.16,2,625.12,Cancelado,15.88,19.67,-3.790000000000001,A tiempo,531.35
VIAJE-5112,VH-100,Tráiler,2025-01-11,2025-01,13:08:00,21:37:46,17:52:12,1264.72,6,356.38,Retrasado,8.5,4.74,3.76,Retrasado,302.92
VIAJE-5113,VH-102,Camión pesado,2025-05-18,2025-05,11:10:00,08:34:04,11:29:47,1827.85,6,711.04,Completado,21.4,0.33,21.07,Retrasado,604.38
VIAJE-5114,VH-117,Furgoneta,2025-03-14,2025-03,10:06:00,23:06:19,04:06:12,1694.71,2,611.71,Retrasado,13.01,18.0,-4.99,A tiempo,519.95
VIAJE-5115,VH-106,Camión pesado,2025-05-13,2025-05,06:30:00,06:31:32,08:55:35,827.84,1,237.5,Completado,0.03,2.43,-2.4000000000000004,A tiempo,201.88
VIAJE-5116,VH-107,Tráiler,2025-06-07,2025-06,11:28:00,23:25:50,01:11:16,1714.79,1,601.42,Completado,11.96,13.72,-1.7599999999999998,A tiempo,511.21
VIAJE-5117,VH-124,Camión pesado,2025-03-23,2025-03,06:36:00,09:15:13,09:35:22,95.82,3,30.66,Completado,2.65,2.99,-0.3400000000000003,A tiempo,26.06
VIAJE-5118,VH-120,Camión ligero,2025-04-11,2025-04,12:09:00,09:42:13,05:23:05,2287.88,2,660.89,Retrasado,21.55,17.23,4.32,Retrasado,561.76
VIAJE-5119,VH-100,Tráiler,2025-01-18,2025-01,09:38:00,11:56:48,12:19:08,1375.52,2,431.24,Completado,2.31,2.69,-0.3799999999999999,A tiempo,366.55
VIAJE-5120,VH-121,Camión ligero,2025-04-15,2025-04,14:34:00,17:22:11,17:44:01,164.88,6,53.43,Completado,2.8,3.17,-0.3700000000000001,A tiempo,45.42
VIAJE-5121,VH-103,Camión pesado,2025-01-02,2025-01,12:00:00,15:53:05,12:42:10,1744.14,5,514.35,Completado,3.88,0.7,3.1799999999999997,Retrasado,437.2
VIAJE-5122,VH-118,Camión ligero,2025-01-06,2025-01,13:59:00,18:16:19,19:15:24,1285.5,6,436.99,Completado,4.29,5.27,-0.9799999999999995,A tiempo,371.44
VIAJE-5123,VH-121,Tráiler,2025-06-06,2025-06,10:22:00,09:27:09,15:22:38,2611.76,4,732.93,Cancelado,23.09,5.01,18.08,Retrasado,622.99
VIAJE-5124,VH-111,Camión pesado,2025-02-06,2025-02,10:40:00,22:17:30,03:37:34,2441.08,4,1040.85,Completado,11.62,16.96,-5.340000000000002,A tiempo,884.72
VIAJE-5125,VH-123,Camión ligero,2025-04-21,2025-04,10:09:00,14:06:27,14:31:30,183.69,5,82.2,Completado,3.96,4.38,-0.41999999999999993,A tiempo,69.87
VIAJE-5126,VH-120,Furgoneta,2025-02-23,2025-02,12:26:00,07:04:47,06:21:43,2065.09,4,676.71,Completado,18.65,17.93,0.7199999999999989,Retrasado,575.2
VIAJE-5127,VH-110,Furgoneta,2025-06-20,2025-06,12:08:00,23:24:19,01:39:18,1348.69,2,490.49,Cancelado,11.27,13.52,-2.25,A tiempo,416.92
VIAJE-5128,VH-111,Tráiler,2025-05-21,2025-05,12:23:00,20:00:26,19:43:29,1218.81,2,437.02,Retrasado,7.62,7.34,0.28000000000000025,Retrasado,371.47
VIAJE-5129,VH-109,Tráiler,2025-01-14,2025-01,09:13:00,02:45:00,02:08:29,1150.14,6,406.57,Completado,17.53,16.92,0.6099999999999994,Retrasado,345.58
VIAJE-5130,VH-114,Camión ligero,2025-02-22,2025-02,12:36:00,21:16:54,23:03:09,1337.75,6,540.25,Retrasado,8.68,10.45,-1.7699999999999996,A tiempo,459.21
VIAJE-5131,VH-118,Camión pesado,2025-02-08,2025-02,12:20:00,11:53:16,13:44:37,1524.49,2,529.51,Cancelado,23.55,1.41,22.14,Retrasado,450.08
VIAJE-5132,VH-124,Camión ligero,2025-06-23,2025-06,07:50:00,12:50:23,12:35:12,154.49,1,41.4,Completado,5.01,4.75,0.2599999999999998,Retrasado,35.19
VIAJE-5133,VH-106,Camión pesado,2025-02-24,2025-02,10:53:00,15:55:13,16:02:47,276.68,3,115.0,Retrasado,5.04,5.16,-0.1200000000000001,A tiempo,97.75
VIAJE-5134,VH-110,Camión pesado,2025-03-16,2025-03,10:06:00,01:00:26,21:04:36,1415.94,2,387.53,Cancelado,14.91,10.98,3.9299999999999997,Retrasado,329.4
VIAJE-5135,VH-113,Camión pesado,2025-05-24,2025-05,14:40:00,14:16:00,16:43:50,1636.25,6,490.68,Completado,23.6,2.06,21.540000000000003,Retrasado,417.08
VIAJE-5136,VH-121,Camión pesado,2025-04-24,2025-04,07:48:00,11:36:41,11:28:24,248.54,4,70.61,Completado,3.81,3.67,0.14000000000000012,Retrasado,60.02
VIAJE-5137,VH-118,Furgoneta,2025-04-23,2025-04,08:28:00,03:35:24,04:27:14,2967.41,6,1267.44,Completado,19.12,19.99,-0.8699999999999974,A tiempo,1077.32
VIAJE-5138,VH-111,Camión ligero,2025-02-15,2025-02,08:39:00,00:27:17,22:36:36,722.99,2,315.95,Completado,15.8,13.96,1.8399999999999999,Retrasado,268.56
VIAJE-5139,VH-120,Furgoneta,2025-03-16,2025-03,07:22:00,13:05:45,14:10:58,1842.41,1,678.13,Completado,5.73,6.82,-1.0899999999999999,A tiempo,576.41
VIAJE-5140,VH-111,Furgoneta,2025-02-19,2025-02,14:17:00,13:27:25,13:18:35,3121.54,1,1345.89,Completado,23.17,23.03,0.14000000000000057,Retrasado,1144.01
VIAJE-5141,VH-120,Camión pesado,2025-03-20,2025-03,10:28:00,10:17:23,13:52:35,2080.34,3,836.2,Retrasado,23.82,3.41,20.41,Retrasado,710.77
VIAJE-5142,VH-121,Camión ligero,2025-03-27,2025-03,14:02:00,22:02:35,20:52:02,553.72,5,201.96,Completado,8.01,6.83,1.1799999999999997,Retrasado,171.67
VIAJE-5143,VH-112,Camión pesado,2025-05-01,2025-05,12:24:00,16:03:18,15:55:05,207.9,6,67.23,Cancelado,3.65,3.52,0.1299999999999999,Retrasado,57.15
VIAJE-5144,VH-113,Tráiler,2025-03-29,2025-03,08:22:00,19:26:45,17:08:53,1827.47,4,487.32,Retrasado,11.08,8.78,2.3000000000000007,Retrasado,414.22
VIAJE-5145,VH-121,Camión ligero,2025-06-20,2025-06,11:55:00,13:19:15,15:39:17,877.49,2,238.16,Completado,1.4,3.74,-2.3400000000000003,A tiempo,202.44
VIAJE-5146,VH-105,Furgoneta,2025-01-17,2025-01,08:36:00,23:28:01,17:44:57,2376.92,1,600.62,Completado,14.87,9.15,5.719999999999999,Retrasado,510.53
VIAJE-5147,VH-119,Camión ligero,2025-02-09,2025-02,13:40:00,07:50:35,09:16:02,2591.54,1,677.0,Completado,18.18,19.6,-1.4200000000000017,A tiempo,575.45
