id_viaje,vehiculo_id,tipo_vehiculo,fecha,hora_salida,hora_llegada_real,hora_llegada_estimada,distancia_km,numero_entregas,combustible_litros,estado_viaje
VIAJE-5028,VH-116,Furgoneta,2025-01-05,12:02:00,10:11:00,14:12:02,2996.22,3,1043.89,Cancelado
VIAJE-5029,VH-110,Camión ligero,2025-01-20,07:35:00,21:29:25,01:25:42,1943.51,5,519.98,Retrasado
VIAJE-5030,VH-119,Camión pesado,2025-01-19,12:52:00,03:36:08,02:03:53,708.08,6,223.81,Completado
VIAJE-5031,VH-120,Furgoneta,2025-04-27,14:49:00,00:40:32,04:37:51,2126.63,4,702.41,Completado
VIAJE-5032,VH-100,Tráiler,2025-01-05,06:14:00,23:03:46,23:29:20,606.2,2,244.64,Cancelado
VIAJE-5033,VH-114,Camión pesado,2025-05-28,11:57:00,06:26:39,02:28:39,2748.95,2,768.76,Completado
VIAJE-5034,VH-105,Camión ligero,2025-01-07,14:38:00,12:04:48,12:37:35,1435.12,2,632.79,Completado
VIAJE-5035,VH-110,Camión pesado,2025-06-18,09:12:00,01:08:05,23:51:29,748.48,3,324.82,Completado
VIAJE-5036,VH-100,Camión pesado,2025-04-23,07:53:00,05:29:31,10:20:17,1414.64,6,412.67,Completado
VIAJE-5037,VH-114,Tráiler,2025-04-13,09:13:00,22:40:54,18:06:20,2008.46,1,572.45,Cancelado
VIAJE-5038,VH-123,Camión ligero,2025-02-11,09:07:00,06:23:19,09:46:47,2699.37,3,845.92,Completado
VIAJE-5039,VH-106,Camión ligero,2025-05-10,11:30:00,01:14:35,23:14:53,473.86,4,154.48,Retrasado
VIAJE-5040,VH-112,Camión ligero,2025-04-01,11:19:00,03:47:50,01:22:36,1917.4,6,862.72,Completado
VIAJE-5041,VH-120,Tráiler,2025-05-01,06:17:00,17:50:46,14:00:47,2343.36,1,702.54,Cancelado
VIAJE-5042,VH-100,Camión pesado,2025-05-13,08:08:00,18:06:23,19:05:13,2055.09,1,600.01,Completado
VIAJE-5043,VH-111,Tráiler,2025-02-10,12:11:00,22:12:59,22:56:41,509.13,2,209.79,Completado
VIAJE-5044,VH-111,Camión ligero,2025-02-11,06:31:00,17:54:15,19:18:05,525.49,3,159.24,Completado
VIAJE-5045,VH-100,Camión ligero,2025-03-26,06:56:00,06:34:35,09:30:35,1404.35,2,364.15,Retrasado
VIAJE-5046,VH-124,Camión pesado,2025-02-10,07:00:00,01:02:19,03:40:49,701.85,4,191.24,Retrasado
VIAJE-5047,VH-114,Tráiler,2025-05-18,13:08:00,06:33:05,04:12:30,2583.54,1,888.47,Completado
VIAJE-5048,VH-104,Furgoneta,2025-06-18,14:23:00,12:24:03,12:05:39,2610.92,1,1043.7,Cancelado
VIAJE-5049,VH-106,Camión pesado,2025-02-26,14:08:00,05:11:02,00:17:21,1394.26,6,375.0,Retrasado
VIAJE-5050,VH-109,Camión ligero,2025-03-05,09:16:00,19:45:34,20:25:19,591.53,3,202.56,Cancelado
VIAJE-5051,VH-116,Furgoneta,2025-02-03,11:27:00,06:41:22,09:11:52,688.94,6,176.95,Retrasado
VIAJE-5052,VH-120,Camión ligero,2025-02-20,08:00:00,16:34:33,15:42:21,268.98,2,84.6,Cancelado
VIAJE-5053,VH-115,Tráiler,2025-03-30,09:40:00,03:39:53,03:03:41,2890.79,4,846.91,Cancelado
VIAJE-5054,VH-108,Tráiler,2025-01-31,10:41:00,00:02:05,05:36:01,2500.89,3,718.42,Completado
VIAJE-5055,VH-115,Tráiler,2025-06-19,07:42:00,01:05:09,19:39:41,2505.12,3,809.37,Completado
VIAJE-5056,VH-117,Camión pesado,2025-01-25,09:29:00,01:40:00,23:12:15,1398.84,6,594.03,Completado
VIAJE-5057,VH-114,Tráiler,2025-05-22,07:55:00,06:36:50,02:20:21,1742.02,5,728.17,Completado
VIAJE-5058,VH-124,Camión ligero,2025-02-20,11:33:00,17:11:35,17:24:56,1069.25,5,438.45,Completado
VIAJE-5059,VH-117,Camión pesado,2025-05-16,08:23:00,17:41:08,18:03:38,532.25,6,198.87,Completado
VIAJE-5060,VH-117,Tráiler,2025-02-21,10:03:00,08:09:59,06:38:29,3133.9,3,1110.5,Retrasado
VIAJE-5061,VH-115,Tráiler,2025-03-24,08:46:00,05:55:16,08:44:36,1355.28,3,519.92,Completado
VIAJE-5062,VH-123,Camión ligero,2025-01-16,12:08:00,20:44:51,20:28:00,541.83,2,152.74,Retrasado
VIAJE-5063,VH-112,Camión pesado,2025-03-05,11:04:00,23:28:36,00:56:18,843.41,2,231.68,Cancelado
VIAJE-5064,VH-121,Camión pesado,2025-02-22,13:09:00,22:04:22,23:25:25,1989.32,1,704.47,Cancelado
VIAJE-5065,VH-103,Tráiler,2025-03-01,13:19:00,05:08:23,04:35:40,2056.88,5,543.18,Completado
VIAJE-5066,VH-108,Camión ligero,2025-04-08,10:07:00,16:57:14,20:26:04,1450.48,2,563.2,Retrasado
VIAJE-5067,VH-124,Furgoneta,2025-02-27,14:06:00,20:10:27,20:50:22,360.03,5,107.38,Retrasado
VIAJE-5068,VH-122,Tráiler,2025-04-18,06:40:00,13:30:19,13:58:56,415.78,6,179.18,Cancelado
VIAJE-5069,VH-110,Tráiler,2025-06-20,10:22:00,16:11:20,15:44:22,198.22,4,69.18,Cancelado
VIAJE-5070,VH-113,Furgoneta,2025-01-27,13:35:00,19:29:19,19:39:32,1573.77,5,684.67,Retrasado
VIAJE-5071,VH-101,Camión ligero,2025-06-01,07:36:00,13:57:57,13:41:59,437.15,2,168.09,Cancelado
VIAJE-5072,VH-113,Tráiler,2025-01-11,11:41:00,01:56:15,06:06:29,2451.69,5,631.2,Retrasado
VIAJE-5073,VH-120,Tráiler,2025-06-21,06:13:00,10:17:43,06:54:57,869.48,3,377.47,Completado
VIAJE-5074,VH-123,Tráiler,2025-03-06,11:52:00,21:17:06,19:02:44,1473.6,2,599.37,Completado
VIAJE-5075,VH-114,Furgoneta,2025-02-11,09:35:00,23:02:25,01:44:43,1943.7,3,778.77,Completado
VIAJE-5076,VH-115,Camión ligero,2025-03-27,11:39:00,14:24:31,12:56:09,1664.56,2,517.96,Completado
VIAJE-5077,VH-120,Tráiler,2025-03-22,13:40:00,00:13:53,01:21:35,478.67,3,166.14,Completado
VIAJE-5078,VH-114,Furgoneta,2025-02-10,08:20:00,11:03:57,11:24:04,102.72,3,40.07,Cancelado
VIAJE-5079,VH-109,Camión pesado,2025-04-12,07:12:00,13:29:41,13:18:52,368.03,6,111.39,Completado
VIAJE-5080,VH-117,Furgoneta,2025-04-12,08:58:00,04:41:15,06:32:55,1258.21,6,537.87,Completado
VIAJE-5081,VH-119,Camión ligero,2025-03-24,09:28:00,01:28:07,03:28:45,1593.53,2,485.64,Retrasado
VIAJE-5082,VH-107,Camión pesado,2025-03-04,09:28:00,17:16:11,15:19:51,1228.83,1,544.27,Cancelado
VIAJE-5083,VH-115,Tráiler,2025-04-17,14:35:00,14:30:30,19:30:37,1806.28,2,661.42,Cancelado
VIAJE-5084,VH-112,Furgoneta,2025-04-04,10:27:00,05:28:49,04:27:13,1256.05,2,403.71,Completado
VIAJE-5085,VH-110,Camión pesado,2025-05-18,08:06:00,07:13:35,10:10:19,2892.09,5,1032.68,Completado
VIAJE-5086,VH-119,Camión pesado,2025-03-31,14:52:00,14:10:48,18:57:29,2299.98,5,786.7,Retrasado
VIAJE-5087,VH-115,Tráiler,2025-01-17,08:01:00,11:46:29,15:04:16,1453.41,1,501.9,Completado
VIAJE-5088,VH-102,Furgoneta,2025-01-17,10:36:00,00:11:33,01:03:49,895.22,1,311.68,Completado
VIAJE-5089,VH-112,Camión pesado,2025-06-19,13:19:00,16:04:58,13:56:07,1525.32,3,624.9,Cancelado
VIAJE-5090,VH-113,Camión pesado,2025-05-19,11:55:00,14:13:41,14:24:17,125.72,6,46.2,Completado
VIAJE-5091,VH-119,Camión ligero,2025-05-16,12:46:00,22:10:55,22:57:19,355.76,5,159.35,Completado
VIAJE-5092,VH-100,Tráiler,2025-01-31,11:05:00,17:24:53,18:16:03,292.15,6,95.68,Retrasado
VIAJE-5093,VH-112,Tráiler,2025-02-05,11:11:00,17:35:34,17:27:32,283.35,6,85.12,Completado
VIAJE-5094,VH-105,Furgoneta,2025-04-13,09:14:00,03:23:18,02:30:56,1014.68,1,406.24,Cancelado
VIAJE-5095,VH-108,Camión ligero,2025-06-05,06:35:00,11:18:14,10:35:54,212.08,2,94.81,Completado
VIAJE-5096,VH-100,Furgoneta,2025-04-09,10:01:00,00:49:06,05:00:05,2045.75,3,902.47,Completado
VIAJE-5097,VH-120,Tráiler,2025-02-16,14:13:00,13:06:08,18:54:21,1588.42,6,587.63,Cancelado
VIAJE-5098,VH-105,Tráiler,2025-02-15,14:09:00,05:36:38,00:09:01,1886.39,5,674.42,Completado
VIAJE-5099,VH-109,Furgoneta,2025-01-28,11:43:00,22:00:57,22:00:30,522.58,1,193.72,Cancelado
VIAJE-5100,VH-110,Tráiler,2025-06-18,14:53:00,10:46:12,11:46:36,952.93,1,250.71,Completado
VIAJE-5101,VH-111,Camión pesado,2025-03-03,13:12:00,03:43:35,08:32:29,1219.89,1,529.71,Cancelado
VIAJE-5102,VH-103,Camión ligero,2025-06-19,11:58:00,14:13:27,14:23:41,1391.74,5,558.62,Completado
VIAJE-5103,VH-109,Furgoneta,2025-02-04,13:48:00,00:54:35,00:35:26,752.92,4,245.01,Retrasado
VIAJE-5104,VH-100,Tráiler,2025-01-27,11:35:00,11:51:07,15:26:10,1105.5,4,446.79,Completado
VIAJE-5105,VH-116,Camión ligero,2025-02-18,07:19:00,02:21:10,02:54:19,2578.48,5,975.15,Completado
VIAJE-5106,VH-117,Camión ligero,2025-01-13,10:24:00,21:03:32,22:05:39,730.86,1,282.72,Retrasado
VIAJE-5107,VH-123,Camión pesado,2025-05-11,11:43:00,21:52:44,21:26:26,2269.29,1,651.61,Completado
VIAJE-5108,VH-122,Furgoneta,2025-01-19,09:31:00,21:01:35,19:27:22,640.14,1,208.88,Completado
VIAJE-5109,VH-109,Camión ligero,2025-03-03,11:11:00,10:35:21,16:31:40,2989.56,3,987.73,Completado
VIAJE-5110,VH-104,Camión pesado,2025-06-09,10:56:00,07:21:12,12:12:02,2541.54,6,953.68,Completado
VIAJE-5111,VH-120,Furgoneta,2025-04-15,06:26:00,22:19:00,02:06:23,1798.16,2,625.12,Cancelado
VIAJE-5112,VH-100,Tráiler,2025-01-11,13:08:00,21:37:46,17:52:12,1264.72,6,356.38,Retrasado
VIAJE-5113,VH-102,Camión pesado,2025-05-18,11:10:00,08:34:04,11:29:47,1827.85,6,711.04,Completado
VIAJE-5114,VH-117,Furgoneta,2025-03-14,10:06:00,23:06:19,04:06:12,1694.71,2,611.71,Retrasado
VIAJE-5115,VH-106,Camión pesado,2025-05-13,06:30:00,06:31:32,08:55:35,827.84,1,237.5,Completado
VIAJE-5116,VH-107,Tráiler,2025-06-07,11:28:00,23:25:50,01:11:16,1714.79,1,601.42,Completado
VIAJE-5117,VH-124,Camión pesado,2025-03-23,06:36:00,09:15:13,09:35:22,95.82,3,30.66,Completado
VIAJE-5118,VH-120,Camión ligero,2025-04-11,12:09:00,09:42:13,05:23:05,2287.88,2,660.89,Retrasado
VIAJE-5119,VH-100,Tráiler,2025-01-18,09:38:00,11:56:48,12:19:08,1375.52,2,431.24,Completado
VIAJE-5120,VH-121,Camión ligero,2025-04-15,14:34:00,17:22:11,17:44:01,164.88,6,53.43,Completado
VIAJE-5121,VH-103,Camión pesado,2025-01-02,12:00:00,15:53:05,12:42:10,1744.14,5,514.35,Completado
VIAJE-5122,VH-118,Camión ligero,2025-01-06,13:59:00,18:16:19,19:15:24,1285.5,6,436.99,Completado
VIAJE-5123,VH-121,Tráiler,2025-06-06,10:22:00,09:27:09,15:22:38,2611.76,4,732.93,Cancelado
VIAJE-5124,VH-111,Camión pesado,2025-02-06,10:40:00,22:17:30,03:37:34,2441.08,4,1040.85,Completado
VIAJE-5125,VH-123,Camión ligero,2025-04-21,10:09:00,14:06:27,14:31:30,183.69,5,82.2,Completado
VIAJE-5126,VH-120,Furgoneta,2025-02-23,12:26:00,07:04:47,06:21:43,2065.09,4,676.71,Completado
VIAJE-5127,VH-110,Furgoneta,2025-06-20,12:08:00,23:24:19,01:39:18,1348.69,2,490.49,Cancelado
VIAJE-5128,VH-111,Tráiler,2025-05-21,12:23:00,20:00:26,19:43:29,1218.81,2,437.02,Retrasado
VIAJE-5129,VH-109,Tráiler,2025-01-14,09:13:00,02:45:00,02:08:29,1150.14,6,406.57,Completado
VIAJE-5130,VH-114,Camión ligero,2025-02-22,12:36:00,21:16:54,23:03:09,1337.75,6,540.25,Retrasado
VIAJE-5131,VH-118,Camión pesado,2025-02-08,12:20:00,11:53:16,13:44:37,1524.49,2,529.51,Cancelado
VIAJE-5132,VH-124,Camión ligero,2025-06-23,07:50:00,12:50:23,12:35:12,154.49,1,41.4,Completado
VIAJE-5133,VH-106,Camión pesado,2025-02-24,10:53:00,15:55:13,16:02:47,276.68,3,115.0,Retrasado
VIAJE-5134,VH-110,Camión pesado,2025-03-16,10:06:00,01:00:26,21:04:36,1415.94,2,387.53,Cancelado
VIAJE-5135,VH-113,Camión pesado,2025-05-24,14:40:00,14:16:00,16:43:50,1636.25,6,490.68,Completado
VIAJE-5136,VH-121,Camión pesado,2025-04-24,07:48:00,11:36:41,11:28:24,248.54,4,70.61,Completado
VIAJE-5137,VH-118,Furgoneta,2025-04-23,08:28:00,03:35:24,04:27:14,2967.41,6,1267.44,Completado
VIAJE-5138,VH-111,Camión ligero,2025-02-15,08:39:00,00:27:17,22:36:36,722.99,2,315.95,Completado
VIAJE-5139,VH-120,Furgoneta,2025-03-16,07:22:00,13:05:45,14:10:58,1842.41,1,678.13,Completado
VIAJE-5140,VH-111,Furgoneta,2025-02-19,14:17:00,13:27:25,13:18:35,3121.54,1,1345.89,Completado
VIAJE-5141,VH-120,Camión pesado,2025-03-20,10:28:00,10:17:23,13:52:35,2080.34,3,836.2,Retrasado
VIAJE-5142,VH-121,Camión ligero,2025-03-27,14:02:00,22:02:35,20:52:02,553.72,5,201.96,Completado
VIAJE-5143,VH-112,Camión pesado,2025-05-01,12:24:00,16:03:18,15:55:05,207.9,6,67.23,Cancelado
VIAJE-5144,VH-113,Tráiler,2025-03-29,08:22:00,19:26:45,17:08:53,1827.47,4,487.32,Retrasado
VIAJE-5145,VH-121,Camión ligero,2025-06-20,11:55:00,13:19:15,15:39:17,877.49,2,238.16,Completado
VIAJE-5146,VH-105,Furgoneta,2025-01-17,08:36:00,23:28:01,17:44:57,2376.92,1,600.62,Completado
VIAJE-5147,VH-119,Camión ligero,2025-02-09,13:40:00,07:50:35,09:16:02,2591.54,1,677.0,Completado
VIAJE-5148,VH-106,Camión ligero,2025-02-17,07:45:00,05:30:50,01:50:57,1379.95,6,358.79,Completado
VIAJE-5149,VH-112,Furgoneta,2025-06-10,14:12:00,14:05:52,14:51:14,905.54,4,260.08,Completado
VIAJE-5150,VH-123,Camión ligero,2025-04-24,08:32:00,10:49:25,10:39:39,84.82,2,36.1,Cancelado
VIAJE-5151,VH-106,Camión ligero,2025-01-20,09:11:00,02:13:10,22:03:49,2472.5,2,932.28,Cancelado
VIAJE-5152,VH-109,Tráiler,2025-05-10,10:13:00,07:50:12,06:09:19,1361.6,6,342.3,Completado
VIAJE-5153,VH-109,Camión pesado,2025-01-17,06:04:00,06:47:13,07:40:33,1634.21,1,675.81,Completado
VIAJE-5154,VH-121,Tráiler,2025-01-04,07:20:00,12:23:15,14:06:51,1936.57,3,718.66,Completado
VIAJE-5155,VH-118,Furgoneta,2025-03-23,13:22:00,01:30:27,23:20:30,1778.78,4,618.69,Cancelado
VIAJE-5156,VH-123,Camión pesado,2025-02-28,08:02:00,17:48:47,16:01:59,1567.02,4,641.3,Retrasado
VIAJE-5157,VH-114,Tráiler,2025-04-26,08:09:00,20:05:29,00:07:02,1632.56,1,665.52,Retrasado
VIAJE-5158,VH-120,Camión pesado,2025-04-13,11:00:00,08:58:53,06:40:49,1378.16,2,605.3,Completado
VIAJE-5159,VH-103,Camión ligero,2025-04-11,13:09:00,03:36:39,03:08:36,548.22,4,170.33,Cancelado
VIAJE-5160,VH-108,Camión pesado,2025-02-18,13:38:00,00:55:29,00:47:27,1669.79,2,639.79,Completado
VIAJE-5161,VH-103,Camión ligero,2025-03-24,13:38:00,04:56:31,06:20:11,603.26,4,201.05,Completado
VIAJE-5162,VH-109,Camión pesado,2025-03-28,10:43:00,17:10:00,13:46:53,1658.47,5,508.12,Completado
VIAJE-5163,VH-122,Camión pesado,2025-04-05,13:04:00,15:52:52,15:38:09,126.1,2,39.75,Completado
VIAJE-5164,VH-110,Tráiler,2025-03-13,14:21:00,18:54:07,22:20:39,1234.66,2,547.07,Cancelado
VIAJE-5165,VH-107,Camión pesado,2025-03-05,13:36:00,13:12:31,15:54:18,726.58,5,237.47,Completado
VIAJE-5166,VH-119,Furgoneta,2025-01-21,14:31:00,13:48:01,12:09:57,1537.13,6,522.47,Completado
VIAJE-5167,VH-124,Furgoneta,2025-02-06,11:54:00,01:40:36,03:11:06,1849.18,2,583.31,Cancelado
VIAJE-5168,VH-115,Camión pesado,2025-03-11,11:31:00,10:50:23,06:34:53,2564.48,5,1056.94,Completado
VIAJE-5169,VH-119,Camión ligero,2025-03-17,06:47:00,01:28:58,22:41:46,2175.12,5,887.76,Retrasado
VIAJE-5170,VH-122,Camión ligero,2025-03-18,10:13:00,18:50:36,19:12:57,267.53,6,89.43,Completado
VIAJE-5171,VH-114,Camión pesado,2025-04-25,12:35:00,21:48:15,20:43:09,440.45,3,134.21,Completado
VIAJE-5172,VH-106,Tráiler,2025-03-14,08:37:00,16:31:45,15:28:00,539.99,1,170.26,Retrasado
VIAJE-5173,VH-111,Camión pesado,2025-03-22,12:35:00,15:45:17,15:39:19,150.23,3,47.37,Completado
VIAJE-5174,VH-120,Furgoneta,2025-03-24,06:56:00,08:28:18,05:39:05,1504.51,6,395.35,Completado
VIAJE-5175,VH-104,Camión pesado,2025-01-27,14:10:00,11:24:44,17:49:24,1782.7,3,566.24,Retrasado
VIAJE-5176,VH-110,Camión ligero,2025-05-07,12:34:00,17:25:32,17:42:33,226.69,4,81.52,Completado
VIAJE-5177,VH-106,Tráiler,2025-02-10,07:48:00,03:43:31,21:52:53,1775.92,2,686.76,Completado
VIAJE-5178,VH-101,Camión pesado,2025-05-03,06:02:00,18:06:26,19:45:12,474.59,2,131.72,Completado
VIAJE-5179,VH-110,Tráiler,2025-06-12,12:01:00,13:29:16,14:47:03,1059.24,1,412.49,Cancelado
VIAJE-5180,VH-102,Camión ligero,2025-02-21,06:13:00,18:46:26,19:32:03,623.58,3,228.43,Completado
VIAJE-5181,VH-116,Camión pesado,2025-04-12,09:09:00,11:48:59,12:47:56,1776.21,6,538.42,Completado
VIAJE-5182,VH-116,Tráiler,2025-02-10,09:48:00,15:45:01,19:19:33,1299.23,3,426.83,Completado
VIAJE-5183,VH-114,Camión ligero,2025-04-25,14:49:00,11:28:42,10:46:50,772.61,1,209.64,Completado
VIAJE-5184,VH-106,Furgoneta,2025-06-22,09:56:00,15:13:23,11:18:26,1234.12,4,463.07,Cancelado
VIAJE-5185,VH-108,Camión pesado,2025-05-11,06:19:00,08:53:06,08:39:32,162.29,3,71.3,Retrasado
VIAJE-5186,VH-123,Furgoneta,2025-04-28,12:38:00,01:18:38,01:58:48,2451.26,4,752.7,Completado
VIAJE-5187,VH-102,Camión ligero,2025-01-01,06:39:00,10:57:04,11:30:22,130.97,3,40.69,Retrasado
VIAJE-5188,VH-123,Camión pesado,2025-01-25,06:23:00,18:17:15,19:09:04,447.97,4,145.4,Completado
VIAJE-5189,VH-113,Camión ligero,2025-03-18,06:57:00,14:28:24,15:26:39,268.39,4,114.73,Completado
VIAJE-5190,VH-103,Camión ligero,2025-05-02,08:00:00,15:10:44,15:58:31,423.51,4,154.99,Cancelado
VIAJE-5191,VH-108,Furgoneta,2025-01-06,13:04:00,00:42:45,23:37:00,1287.95,1,419.21,Completado
VIAJE-5192,VH-115,Tráiler,2025-04-30,12:11:00,10:56:13,13:08:01,2481.24,1,1096.42,Completado
VIAJE-5193,VH-122,Furgoneta,2025-05-03,09:51:00,00:08:42,23:00:28,812.67,2,275.98,Completado
VIAJE-5194,VH-120,Camión ligero,2025-05-25,12:35:00,10:22:55,13:20:38,2268.92,2,904.18,Completado
VIAJE-5195,VH-111,Camión ligero,2025-06-03,11:29:00,03:14:10,05:07:39,2058.55,3,667.49,Cancelado
VIAJE-5196,VH-117,Camión pesado,2025-03-24,11:26:00,21:26:08,22:53:11,460.82,4,185.92,Completado
VIAJE-5197,VH-121,Tráiler,2025-06-22,14:26:00,09:00:30,07:37:59,878.02,5,243.68,Completado
VIAJE-5198,VH-120,Tráiler,2025-04-26,14:55:00,00:12:43,00:16:32,2183.84,3,921.45,Completado
VIAJE-5199,VH-119,Furgoneta,2025-05-19,08:54:00,23:38:30,03:24:55,1378.47,2,453.89,Retrasado
VIAJE-5200,VH-103,Camión ligero,2025-05-14,07:36:00,09:47:09,10:04:33,147.28,6,58.61,Completado
VIAJE-5201,VH-115,Camión ligero,2025-03-25,11:35:00,08:40:55,04:52:52,2296.64,4,735.45,Retrasado
VIAJE-5202,VH-122,Camión ligero,2025-02-27,13:09:00,05:31:48,08:08:56,2657.39,2,1139.05,Cancelado
VIAJE-5203,VH-103,Tráiler,2025-02-06,07:44:00,05:26:18,02:44:07,1813.27,4,529.2,Completado
VIAJE-5204,VH-106,Camión ligero,2025-01-05,06:18:00,13:52:10,12:53:45,283.31,6,85.19,Completado
VIAJE-5205,VH-113,Furgoneta,2025-06-19,12:00:00,22:05:58,20:49:12,1432.48,4,445.15,Cancelado
VIAJE-5206,VH-118,Tráiler,2025-06-12,06:43:00,07:19:04,06:13:19,769.06,3,231.61,Retrasado
VIAJE-5207,VH-112,Camión ligero,2025-04-19,11:43:00,12:16:15,15:40:47,763.47,1,306.77,Completado
VIAJE-5208,VH-115,Furgoneta,2025-05-20,07:05:00,20:22:16,22:03:17,840.13,6,286.43,Completado
VIAJE-5209,VH-107,Tráiler,2025-01-09,11:19:00,14:44:14,12:24:20,1594.84,4,529.68,Completado
VIAJE-5210,VH-121,Camión pesado,2025-06-01,06:59:00,08:16:22,07:59:36,828.59,2,322.67,Retrasado
VIAJE-5211,VH-117,Camión ligero,2025-03-06,07:44:00,09:30:11,07:54:21,952.37,4,269.09,Completado
VIAJE-5212,VH-119,Furgoneta,2025-04-20,07:43:00,16:50:14,16:47:18,579.11,2,173.62,Retrasado
VIAJE-5213,VH-124,Camión pesado,2025-04-07,06:19:00,16:43:11,16:58:50,453.61,6,158.16,Retrasado
VIAJE-5214,VH-122,Camión ligero,2025-01-26,08:08:00,16:12:19,16:21:26,558.19,5,188.46,Completado
VIAJE-5215,VH-122,Tráiler,2025-01-06,14:57:00,00:51:55,00:02:14,1878.68,1,482.27,Retrasado
VIAJE-5216,VH-117,Tráiler,2025-01-18,07:05:00,21:10:15,21:03:49,957.21,3,336.39,Completado
VIAJE-5217,VH-104,Camión ligero,2025-01-07,08:05:00,12:19:21,13:40:37,1597.94,4,573.95,Cancelado
VIAJE-5218,VH-108,Tráiler,2025-01-18,08:37:00,05:37:35,03:45:03,1100.63,2,341.27,Retrasado
VIAJE-5219,VH-100,Furgoneta,2025-01-16,14:50:00,17:23:34,17:27:31,130.5,3,32.86,Completado
VIAJE-5220,VH-110,Camión pesado,2025-05-03,09:12:00,17:44:44,13:49:51,1599.0,2,523.79,Cancelado
VIAJE-5221,VH-102,Camión pesado,2025-06-20,08:54:00,10:21:14,10:11:00,1640.44,1,734.87,Completado
VIAJE-5222,VH-118,Camión pesado,2025-03-05,12:53:00,19:39:43,18:47:51,2077.69,3,832.06,Completado
VIAJE-5223,VH-110,Tráiler,2025-01-08,09:42:00,21:07:07,22:14:59,1591.98,4,674.02,Completado
VIAJE-5224,VH-115,Tráiler,2025-06-15,08:15:00,13:48:10,13:12:24,1226.6,1,314.23,Completado
